2	100.000000 	100.000000  100.000000  100.000000 
4	100.000000 	100.000000  100.000000  100.000000 
6	100.000000 	100.000000  100.000000  100.000000 
8	100.000000 	100.000000  100.000000  100.000000 
10	100.000000 	100.000000  100.000000  100.000000 
12	100.000000 	100.000000  100.000000  100.000000 
14	100.000000 	100.000000  100.000000  100.000000 
16	100.000000 	100.000000  100.000000  100.000000 
18	100.000000 	100.000000  100.000000  100.000000 
20	100.000000 	100.000000  100.000000  100.000000 
22	100.000000 	100.000000  100.000000  100.000000 
24	100.000000 	100.000000  99.000000  99.000000 
26	99.000000 	100.000000  94.000000  98.000000 
28	98.000000 	100.000000  84.000000  97.000000 
30	97.000000 	100.000000  66.000000  92.000000 
32	80.000000 	100.000000  39.000000  66.000000 
34	47.000000 	81.000000  23.000000  27.000000 
36	19.000000 	48.000000  5.000000  10.000000 
38	5.000000 	15.000000  4.000000  0.000000 
40	0.000000 	0.000000  0.000000  0.000000 
42	0.000000 	0.000000  0.000000  0.000000 
44	0.000000 	0.000000  0.000000  0.000000 
46	0.000000 	0.000000  0.000000  0.000000 
48	0.000000 	0.000000  0.000000  0.000000 
50	0.000000 	0.000000  0.000000  0.000000 
